Map 6.8,,,
"Employee jobs, by ward",,,
,,,Numbers
Ward,Code,Borough,Employees
,,,
ThurlowPark,00AYGT,Lambeth,"1,652"
TulseHill,00AYGU,Lambeth,"1,409"
Vassall,00AYGW,Lambeth,"2,940"
Bellingham,00AZGD,Lewisham,"4,159"
Blackheath,00AZGE,Lewisham,"4,323"
Brockley,00AZGF,Lewisham,"3,726"
CatfordSouth,00AZGG,Lewisham,"2,274"
CroftonPark,00AZGH,Lewisham,"1,917"
Downham,00AZGJ,Lewisham,"1,766"
Evelyn,00AZGK,Lewisham,"2,915"
ForestHill,00AZGL,Lewisham,"4,751"
GrovePark,00AZGM,Lewisham,"1,564"
Ladywell,00AZGN,Lewisham,"1,605"
LeeGreen,00AZGP,Lewisham,"2,665"
LewishamCentral,00AZGQ,Lewisham,"11,522"
NewCross,00AZGR,Lewisham,"5,763"
PerryVale,00AZGS,Lewisham,"1,543"
RusheyGreen,00AZGT,Lewisham,"5,588"
Sydenham,00AZGU,Lewisham,"2,087"
TelegraphHill,00AZGW,Lewisham,"1,974"
Whitefoot,00AZGX,Lewisham,"1,351"
Abbey,00BAFX,Merton,"8,535"
CannonHill,00BAFY,Merton,"1,051"
ColliersWood,00BAFZ,Merton,"2,544"
CricketGreen,00BAGA,Merton,"6,903"
Dundonald,00BAGB,Merton,"4,377"
Figge'sMarsh,00BAGC,Merton,"1,619"
Graveney,00BAGD,Merton,"1,147"
Hillside,00BAGE,Merton,"6,479"
LavenderFields,00BAGF,Merton,"1,171"
Longthornton,00BAGG,Merton,701
LowerMorden,00BAGH,Merton,"1,400"
MertonPark,00BAGJ,Merton,"3,911"
PollardsHill,00BAGK,Merton,598
Ravensbury,00BAGL,Merton,"1,780"
RaynesPark,00BAGM,Merton,"3,906"
StHelier,00BAGN,Merton,"1,631"
Trinity,00BAGP,Merton,"5,660"
Village,00BAGQ,Merton,"3,968"
WestBarnes,00BAGR,Merton,"2,934"
WimbledonPark,00BAGS,Merton,"4,002"
Beckton,00BBGB,Newham,"7,308"
Boleyn,00BBGC,Newham,"2,208"
CanningTownNorth,00BBGD,Newham,"7,369"
CanningTownSouth,00BBGE,Newham,"1,729"
CustomHouse,00BBGF,Newham,"2,031"
EastHamCentral,00BBGG,Newham,"5,290"
EastHamNorth,00BBGH,Newham,"1,347"
EastHamSouth,00BBGJ,Newham,"2,154"
ForestGateNorth,00BBGK,Newham,"1,261"
ForestGateSouth,00BBGL,Newham,"2,910"
GreenStreetEast,00BBGM,Newham,"1,449"
GreenStreetWest,00BBGN,Newham,"2,679"
LittleIlford,00BBGP,Newham,"1,239"
ManorPark,00BBGQ,Newham,"1,432"
PlaistowNorth,00BBGR,Newham,"1,549"
PlaistowSouth,00BBGS,Newham,"7,605"
RoyalDocks,00BBGT,Newham,"4,532"
StratfordandNewTown,00BBGU,Newham,"15,530"
WallEnd,00BBGW,Newham,906
WestHam,00BBGX,Newham,"2,029"
Aldborough,00BCFY,Redbridge,"4,089"
Barkingside,00BCFZ,Redbridge,"2,339"
Bridge,00BCGA,Redbridge,"1,709"
Chadwell,00BCGB,Redbridge,"2,198"
ChurchEnd,00BCGC,Redbridge,"3,600"
Clayhall,00BCGD,Redbridge,"3,168"
Clementswood,00BCGE,Redbridge,"8,801"
Cranbrook,00BCGF,Redbridge,"2,034"
Fairlop,00BCGG,Redbridge,"2,997"
Fullwell,00BCGH,Redbridge,"1,606"
Goodmayes,00BCGJ,Redbridge,"1,365"
Hainault,00BCGK,Redbridge,"2,936"
Loxford,00BCGL,Redbridge,"3,566"
Mayfield,00BCGM,Redbridge,"1,134"
